ele,time,geoidheigh,name,type,Patch,Latitude,Longitude,Year,Pasture
356.240265000000022,2021/06/22 12:50:28.000,,KLL DICK 2 21,user,KLL,4505233.09000000,407910.93890000,"2021",KLL
361.320922999999993,2021/05/31 12:58:03.000,,KLL RWBL 1 21,user,KLL,4505213.16000000,407861.17270000,"2021",KLL
365.472899999999981,2021/05/31 12:56:47.000,,KLL RWBL 2 21,user,KLL,4505229.55700000,407882.15840000,"2021",KLL
371.777160999999978,2021/05/31 13:12:01.000,,KLL RWBL 3 21,user,KLL,4505240.39300000,407930.55080000,"2021",KLL
362.583220999999980,2021/06/02 11:05:47.000,,KLL RWBL 4 21,user,KLL,4505313.98300000,407950.21960000,"2021",KLL
354.866027999999972,2021/06/12 17:19:44.000,,KLT BOBO 1 21,user,KLT_W,4503530.64600000,406269.46460000,"2021",KLT
346.659606999999994,2021/05/28 16:54:01.000,,KLT DICK 1 21,user,KLT_S,4502885.24500000,406261.90910000,"2021",KLT
360.278503000000001,2021/06/23 13:04:55.000,,KLT DICK 10 21,user,KLT_W,4503609.22600000,406377.12540000,"2021",KLT
341.757965000000013,2021/05/30 16:40:32.000,,KLT DICK 2 21,user,KLT_S,4502937.06200000,406299.42150000,"2021",KLT
346.689666999999986,2021/05/30 16:42:17.000,,KLT DICK 3 21,user,KLT_S,4502906.66900000,406270.63250000,"2021",KLT
355.256713999999988,2021/05/30 17:17:37.000,,KLT DICK 4 21,user,KLT_E,4503550.58400000,406449.24710000,"2021",KLT
359.020019999999988,2021/06/21 14:37:34.000,,KLT DICK 5 21,user,KLT_W,4503576.78400000,406440.02670000,"2021",KLT
354.086059999999975,2021/06/23 12:29:18.000,,KLT DICK 6 21,user,KLT_E,4503428.11200000,406449.65310000,"2021",KLT
355.243926999999985,2021/06/23 12:56:57.000,,KLT DICK 8 21,user,KLT_E,4503443.44600000,406449.08100000,"2021",KLT
356.893065999999976,2021/06/23 13:02:31.000,,KLT DICK 9 21,user,KLT_W,4503469.35900000,406436.89530000,"2021",KLT
358.016692999999975,2021/05/30 16:15:21.000,,KLT EAME 1 21,user,KLT_E,4503587.52300000,406443.03840000,"2021",KLT
350.131896999999981,2021/06/23 12:23:57.000,,KLT EAME 2 21,user,KLT_W,4503491.45500000,406295.59530000,"2021",KLT
361.836974999999995,2021/06/05 15:39:31.000,,KLT KILLZONE,user,KLT_W,4503508.52900000,406297.24890000,"2021",KLT
344.716766000000007,2021/06/14 13:44:53.000,,KLT MODO 1 21,user,KLT_S,4502905.78900000,406279.15940000,"2021",KLT
350.121673999999985,2021/06/27 18:51:26.000,,KLT MODO 2 21,user,KLT_S,4502892.06200000,406276.28660000,"2021",KLT
356.544098000000020,2021/06/08 13:31:05.000,,KLT RWBL 10 21,user,KLT_W,4503552.66800000,406266.19300000,"2021",KLT
346.132232999999985,2021/06/09 13:42:49.000,,KLT RWBL 11 21,user,KLT_W,4503402.83900000,406235.47330000,"2021",KLT
345.643097000000012,2021/06/12 12:07:16.000,,KLT RWBL 12 21,user,KLT_W,4503403.50500000,406235.82180000,"2021",KLT
345.264525999999989,2021/06/12 17:31:32.000,,KLT RWBL 13 21,user,KLT_S,4502863.47700000,406297.39520000,"2021",KLT
346.414275999999973,2021/06/15 14:54:09.000,,KLT RWBL 14 21,user,KLT_S,4502890.55600000,406298.24690000,"2021",KLT
355.164336999999989,2021/06/15 15:05:47.000,,KLT RWBL 15 21,user,KLT_W,4503478.98200000,406245.65200000,"2021",KLT
352.697295999999994,2021/06/21 15:23:42.000,,KLT RWBL 16 21,user,KLT_W,4503501.79100000,406295.04560000,"2021",KLT
349.443541999999979,2021/06/21 17:10:17.000,,KLT RWBL 17 21,user,KLT_W,4503490.24500000,406224.07170000,"2021",KLT
357.154113999999993,2021/06/27 19:07:50.000,,KLT RWBL 18 212,user,KLT_W,4503527.79700000,406265.87920000,"2021",KLT
361.248199000000000,2021/06/23 13:16:58.000,,KLT RWBL 19 21,user,KLT_E,4503616.05900000,406442.71770000,"2021",KLT
346.420807000000025,2021/05/28 16:41:00.000,,KLT RWBL 2 21,user,KLT_S,4502898.18400000,406239.50510000,"2021",KLT
347.131439000000000,2021/05/28 16:43:50.000,,KLT RWBL 3 21,user,KLT_S,4502882.96200000,406231.87320000,"2021",KLT
348.193969999999979,2021/05/28 16:47:08.000,,KLT RWBL 4 21,user,KLT_S,4502872.07000000,406232.24580000,"2021",KLT
346.641815000000008,2021/05/29 17:42:22.000,,KLT RWBL 5 21,user,KLT_S,4502857.43300000,406274.91450000,"2021",KLT
348.371368000000018,2021/05/30 16:00:56.000,,KLT RWBL 6 21,user,KLT_W,4503429.89800000,406237.93330000,"2021",KLT
346.982848999999987,2021/05/30 16:03:23.000,,KLT RWBL 7 21,user,KLT_W,4503411.84700000,406313.69230000,"2021",KLT
350.062561000000017,2021/06/03 11:10:12.000,,KLT RWBL 8 21,user,KLT_W,4503595.72300000,406259.12720000,"2021",KLT
349.416900999999996,2021/06/08 13:07:56.000,,KLT RWBL 9 21,user,KLT_W,4503450.12200000,406324.74580000,"2021",KLT
339.126739999999984,2021/06/19 12:30:45.000,,LTR DICK 1 21,user,LTR_E,4492815.49900000,403663.74440000,"2021",LTR
329.042999000000009,2021/06/03 11:21:45.000,,PYN GRSP 1 21,user,PYN_W,4492648.23300000,400665.66950000,"2021",PYN
357.488983000000019,2021/06/15 14:01:40.000,,RIE BEVI 1 21,user,RIE_N,4494255.85700000,404193.21210000,"2021",RIE
350.813782000000003,2021/05/29 12:31:07.000,,RIE BRTH 1 21,user,RIE_N,4494272.22800000,404266.87900000,"2021",RIE
354.261566000000016,2021/06/27 13:05:32.000,,RIE BRTH 2 21,user,RIE_E,4494216.51200000,404274.29260000,"2021",RIE
