NestID,Year,Species,Pasture,Patch,Patchsize_ha,Pasture.Patch,Treatment,Grazed?,Sprayed?,TSF,TSF_2,visitID,Visit#,Trials,Initiation,InitiationJulian,Date,JulianDate,JulDate_2,JulDate_3,ExpDays,Survive,Stage,HostEggs,HostChicks,ParasiteEggs,ParasiteChicks,#Chicks,ParasiteEggs?,ParasiteChicks?,Parasitised?,NestSubstrate,SubstrateType,SubstrateGeneral,Substrate_ht,Substrate_wd,NestHt_rim,NestHt_bottom,Nest_CSG,Nest_FEAR,Nest_WSG,Nest_SDV,Nest_Forb,Nest_Legume,Nest_Bare,Nest_Wood,Nest_LitCov,Nest_MaxHt,Nest_#Shrubs,Nest_#PNShrubs,Nest_#PNClumps,Nest_#PNForbs,Nest_#PNSites,Nest_AvgLitDep,Nest_StDevLitDep,Nest_AvgRobel,Nest_StDevRobel,Patch%Herb,Patch%Imperv,Patch%Crop,Patch%Trees,Patch%Water,Pasture%Herb,Pasture%Imperv,Pasture%Crop,Pasture%Trees,Pasture%Water,Nest1000m_Herb,Nest1000m_Crop,Nest1000m_Trees,Nest1000m_TreesCrop,Nest500m_Herb,Nest500m_Crop,Nest500m_Trees,Nest500m_TreesCrop,Nest250m_Herb,Nest250m_Crop,Nest250m_Trees,Nest250m_CropTrees,TREE_DIST,TREE_DIST_2,CROP_DIST,CROP_DIST_2,ROAD_DIST,ROAD_DIST_2,1000m_treeedge,1000m_cropedge,1000m_roadedge,500m_treeedge,500m_cropedge,500m_roadedge,250m_treeedge,250m_cropedge,250_roadedge
GIL DICK 4 13,2013,DICK,GIL,S,113.66,GIL.S,GrazeBurn,Yes,No,1,1,4459,4,1,7/13/13,194,7/30/13,211,44521,9393931,3,0,Nestling,3,1,1,1,2,1,1,1,Osage orange,Woody,Woody,,,,,90.8,67.2,0,,29.2,4,2,12.6,98,,,,,,,1.45,1.021640837,6.65,2.924938146,0.587235058,0.00917265,0.202595903,0.188342355,0.012654034,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,56.28088041,22.75834787,18.74112287,41.49947074,65.01011747,13.53788691,18.86185675,32.39974366,79.60653826,4.819080097,0.212496618,5.031576715,55.718966,3104.603172,118.258758,13985.13384,129.809321,16850.45982,102.34442,40.83662,22.96498,116.12298,30.27094,25.99939,119.78809,51.23585,48.89145
GIL DICK 5 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,4460,1,1,7/8/13,189,7/20/13,201,40401,8120601,3,0,Incubation,3,0,1,0,1,1,0,1,Unknown shrub,Woody,Woody,,,,,86,67.6,1.8,,24.8,1.2,5.6,3.2,83.8,,,,,,,0.4,0.454147553,4.75,1.773340588,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,59.68975315,20.79829502,17.15279091,37.95108593,64.2588157,17.53271145,16.29662695,33.82933841,70.92914624,12.16857372,0.201697761,12.37027148,73.255581,5366.380148,148.221251,21969.53925,334.37376,111805.8114,103.88951,43.66568,22.26696,133.17549,38.12424,20.19602,68.21788,19.76551,0
GIL DICK 7 13,2013,DICK,GIL,C,113.66,GIL.C,GrazeBurn,Yes,No,1,1,4461,1,1,7/21/13,202,8/2/13,214,45796,9800344,4,0,Incubation,3,0,1,0,1,1,0,1,Osage orange,Woody,Woody,,,26,20,86.2,64.8,0,,20.4,27.2,15.2,20.2,81.2,,,,,,,1.65,2.05091443,4.3,2.202868943,0.61504227,0.009028134,0.191495826,0.166840032,0.017593739,0.619393457,0.011792725,0.17818915,0.174205017,0.016419651,56.81911611,23.69729549,17.19666107,40.89395657,63.31245321,16.84442901,17.59584551,34.44027452,75.54481825,13.13480904,0.130375712,13.26518475,18.792503,353.158169,64.282204,4132.201751,243.294358,59192.14463,106.56891,39.38031,20.46389,138.79904,31.40153,23.55839,131.67643,23.02983,5.95359
K235N DICK 1 13,2013,DICK,K235N,E,285.06,K235N.E,SprayGrazeBurn,Yes,Yes,2,4,4523,1,1,6/1/13,152,6/6/13,157,24649,3869893,4,1,Incubation,2,0,3,0,3,1,0,1,Unknown forbs,Forb,Herbaceous,,,8.75,3,36.2,24.6,11.4,,43,19,31.4,0,43.6,,,,,,,0.7,0.87321246,3.95,1.394538218,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,92.05329525,2.326329226,2.484253006,4.810582232,96.43996786,0.069066056,1.77669614,1.845762196,97.08547707,0,5.78E-05,5.78E-05,223.915392,50138.10277,485.151765,235372.2351,110.688461,12251.9354,107.09448,43.93764,19.9057,133.43484,0.831,24.78617,78.78566,0,45.24228
K235N DICK 1 13,2013,DICK,K235N,E,285.06,K235N.E,SprayGrazeBurn,Yes,Yes,2,4,4524,2,1,6/1/13,152,6/9/13,160,25600,4096000,3,1,Incubation,1,0,4,0,4,1,0,1,Unknown forbs,Forb,Herbaceous,,,8.75,3,36.2,24.6,11.4,,43,19,31.4,0,43.6,,,,,,,0.7,0.87321246,3.95,1.394538218,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,92.05329525,2.326329226,2.484253006,4.810582232,96.43996786,0.069066056,1.77669614,1.845762196,97.08547707,0,5.78E-05,5.78E-05,223.915392,50138.10277,485.151765,235372.2351,110.688461,12251.9354,107.09448,43.93764,19.9057,133.43484,0.831,24.78617,78.78566,0,45.24228
K235N DICK 1 13,2013,DICK,K235N,E,285.06,K235N.E,SprayGrazeBurn,Yes,Yes,2,4,4525,3,1,6/1/13,152,6/10/13,161,25921,4173281,1,1,Incubation,1,0,4,0,4,1,0,1,Unknown forbs,Forb,Herbaceous,,,8.75,3,36.2,24.6,11.4,,43,19,31.4,0,43.6,,,,,,,0.7,0.87321246,3.95,1.394538218,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,92.05329525,2.326329226,2.484253006,4.810582232,96.43996786,0.069066056,1.77669614,1.845762196,97.08547707,0,5.78E-05,5.78E-05,223.915392,50138.10277,485.151765,235372.2351,110.688461,12251.9354,107.09448,43.93764,19.9057,133.43484,0.831,24.78617,78.78566,0,45.24228
K235N DICK 1 13,2013,DICK,K235N,E,285.06,K235N.E,SprayGrazeBurn,Yes,Yes,2,4,4526,4,1,6/1/13,152,6/16/13,167,27889,4657463,6,1,Incubation,1,0,4,0,4,1,0,1,Unknown forbs,Forb,Herbaceous,,,8.75,3,36.2,24.6,11.4,,43,19,31.4,0,43.6,,,,,,,0.7,0.87321246,3.95,1.394538218,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,92.05329525,2.326329226,2.484253006,4.810582232,96.43996786,0.069066056,1.77669614,1.845762196,97.08547707,0,5.78E-05,5.78E-05,223.915392,50138.10277,485.151765,235372.2351,110.688461,12251.9354,107.09448,43.93764,19.9057,133.43484,0.831,24.78617,78.78566,0,45.24228
K235N DICK 1 13,2013,DICK,K235N,E,285.06,K235N.E,SprayGrazeBurn,Yes,Yes,2,4,4527,5,1,6/1/13,152,6/19/13,170,28900,4913000,3,1,Nestling,0,1,0,4,4,0,1,1,Unknown forbs,Forb,Herbaceous,,,8.75,3,36.2,24.6,11.4,,43,19,31.4,0,43.6,,,,,,,0.7,0.87321246,3.95,1.394538218,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,92.05329525,2.326329226,2.484253006,4.810582232,96.43996786,0.069066056,1.77669614,1.845762196,97.08547707,0,5.78E-05,5.78E-05,223.915392,50138.10277,485.151765,235372.2351,110.688461,12251.9354,107.09448,43.93764,19.9057,133.43484,0.831,24.78617,78.78566,0,45.24228
K235N DICK 1 13,2013,DICK,K235N,E,285.06,K235N.E,SprayGrazeBurn,Yes,Yes,2,4,4528,6,1,6/1/13,152,6/22/13,173,29929,5177717,3,1,Nestling,0,1,0,4,4,0,1,1,Unknown forbs,Forb,Herbaceous,,,8.75,3,36.2,24.6,11.4,,43,19,31.4,0,43.6,,,,,,,0.7,0.87321246,3.95,1.394538218,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,92.05329525,2.326329226,2.484253006,4.810582232,96.43996786,0.069066056,1.77669614,1.845762196,97.08547707,0,5.78E-05,5.78E-05,223.915392,50138.10277,485.151765,235372.2351,110.688461,12251.9354,107.09448,43.93764,19.9057,133.43484,0.831,24.78617,78.78566,0,45.24228
K235N DICK 1 13,2013,DICK,K235N,E,285.06,K235N.E,SprayGrazeBurn,Yes,Yes,2,4,4529,7,1,6/1/13,152,6/25/13,176,30976,5451776,3,1,Nestling,0,1,0,4,4,0,1,1,Unknown forbs,Forb,Herbaceous,,,8.75,3,36.2,24.6,11.4,,43,19,31.4,0,43.6,,,,,,,0.7,0.87321246,3.95,1.394538218,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,0.879837052,0.017536887,0.047213366,0.040116818,0.015295877,92.05329525,2.326329226,2.484253006,4.810582232,96.43996786,0.069066056,1.77669614,1.845762196,97.08547707,0,5.78E-05,5.78E-05,223.915392,50138.10277,485.151765,235372.2351,110.688461,12251.9354,107.09448,43.93764,19.9057,133.43484,0.831,24.78617,78.78566,0,45.24228
